continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
North America,Bermuda,44079,174,0,0.857,9,0,0,2794.148,0,13.764,144.525,0,0,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
Asia,Bhutan,44079,228,1,4.714,0,0,0,295.485,1.296,6.11,0,0,0,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78
South America,Bolivia,44079,119580,1652,738.714,5343,140,71,10244.128,141.523,63.284,457.722,11.993,6.082,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51
North America,Bonaire Sint Eustatius and Saba,44079,18,0,0.429,0,0,0,686.473,0,16.345,0,0,0,26221,,,,,,,,,,,,,77.79
Europe,Bosnia and Herzegovina,44079,21142,338,275.429,639,3,7.714,6444.13,103.023,83.951,194.769,0.914,2.351,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4
Africa,Botswana,44079,2002,278,52.714,8,2,0.286,851.326,118.216,22.416,3.402,0.85,0.121,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59
South America,Brazil,44079,4092832,51194,41147,125521,907,859.571,19255.003,240.846,193.579,590.522,4.267,4.044,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88
North America,British Virgin Islands,44079,63,16,4,1,0,0,2083.54,529.153,132.288,33.072,0,0,30237,207.973,,,,,,,13.67,,,,,79.07
Asia,Brunei,44079,145,1,0.143,3,0,0,331.441,2.286,0.327,6.857,0,0,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86
Europe,Bulgaria,44079,16775,158,101.429,658,10,7.857,2414.209,22.739,14.597,94.697,1.439,1.131,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05
Africa,Burkina Faso,44079,1408,22,7.143,55,0,0,67.358,1.052,0.342,2.631,0,0,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58
Africa,Burundi,44079,451,3,2.571,1,0,0,37.929,0.252,0.216,0.084,0,0,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58
Asia,Cambodia,44079,274,0,0.143,0,0,0,16.389,0,0.009,0,0,0,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82
Africa,Cameroon,44079,19604,0,66,414,0,0.429,738.495,0,2.486,15.596,0,0.016,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29
North America,Canada,44079,131124,631,538,9141,0,4.714,3474.205,16.719,14.255,242.196,0,0.125,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43
Africa,Cape Verde,44079,4200,75,65,41,0,0.429,7554.12,134.895,116.909,73.743,0,0.771,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98
North America,Cayman Islands,44079,205,0,0,1,0,0,3119.294,0,0,15.216,0,0,65720,256.496,,,,49903.029,,,13.22,,,,,83.92
Africa,Central African Republic,44079,4729,0,4.143,62,0,0.143,979.137,0,0.858,12.837,0,0.03,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28
Africa,Chad,44079,1023,5,2.143,77,0,0,62.28,0.304,0.13,4.688,0,0,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24
South America,Chile,44079,418469,1968,1785.286,11494,72,51.714,21890.794,102.949,93.391,601.27,3.766,2.705,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18
